year,state,month,number,date
1998,AC,Janeiro,0,1998-01-01
1999,AC,Janeiro,0,1999-01-01
2000,AC,Janeiro,0,2000-01-01
2001,AC,Janeiro,0,2001-01-01
2002,AC,Janeiro,0,2002-01-01
2003,AC,Janeiro,10,2003-01-01
2004,AC,Janeiro,0,2004-01-01
2005,AC,Janeiro,12,2005-01-01
2006,AC,Janeiro,4,2006-01-01
2007,AC,Janeiro,0,2007-01-01
2008,AC,Janeiro,0,2008-01-01
2009,AC,Janeiro,0,2009-01-01
2010,AC,Janeiro,1,2010-01-01
2011,AC,Janeiro,0,2011-01-01
2012,AC,Janeiro,0,2012-01-01
2013,AC,Janeiro,0,2013-01-01
2014,AC,Janeiro,0,2014-01-01
2015,AC,Janeiro,1,2015-01-01
2016,AC,Janeiro,12,2016-01-01
2017,AC,Janeiro,0,2017-01-01
1998,AC,Fevereiro,0,1998-01-01
1999,AC,Fevereiro,0,1999-01-01
2000,AC,Fevereiro,0,2000-01-01
2001,AC,Fevereiro,0,2001-01-01
2002,AC,Fevereiro,1,2002-01-01
2003,AC,Fevereiro,0,2003-01-01
2004,AC,Fevereiro,3,2004-01-01
2005,AC,Fevereiro,0,2005-01-01
2006,AC,Fevereiro,0,2006-01-01
2007,AC,Fevereiro,5,2007-01-01
2008,AC,Fevereiro,0,2008-01-01
2009,AC,Fevereiro,2,2009-01-01
2010,AC,Fevereiro,0,2010-01-01
2011,AC,Fevereiro,0,2011-01-01
2012,AC,Fevereiro,0,2012-01-01
2013,AC,Fevereiro,0,2013-01-01
2014,AC,Fevereiro,0,2014-01-01
2015,AC,Fevereiro,2,2015-01-01
2016,AC,Fevereiro,5,2016-01-01
2017,AC,Fevereiro,1,2017-01-01
1998,AC,Mar�o,0,1998-01-01
1999,AC,Mar�o,0,1999-01-01
2000,AC,Mar�o,11,2000-01-01
2001,AC,Mar�o,0,2001-01-01
2002,AC,Mar�o,0,2002-01-01
2003,AC,Mar�o,0,2003-01-01
2004,AC,Mar�o,0,2004-01-01
2005,AC,Mar�o,3,2005-01-01
2006,AC,Mar�o,0,2006-01-01
2007,AC,Mar�o,2,2007-01-01
2008,AC,Mar�o,0,2008-01-01
2009,AC,Mar�o,1,2009-01-01
2010,AC,Mar�o,0,2010-01-01
2011,AC,Mar�o,0,2011-01-01
2012,AC,Mar�o,1,2012-01-01
2013,AC,Mar�o,2,2013-01-01
2014,AC,Mar�o,1,2014-01-01
2015,AC,Mar�o,2,2015-01-01
2016,AC,Mar�o,0,2016-01-01
2017,AC,Mar�o,0,2017-01-01
1998,AC,Abril,0,1998-01-01
1999,AC,Abril,0,1999-01-01
2000,AC,Abril,1,2000-01-01
2001,AC,Abril,0,2001-01-01
2002,AC,Abril,0,2002-01-01
2003,AC,Abril,1,2003-01-01
2004,AC,Abril,2,2004-01-01
2005,AC,Abril,1,2005-01-01
2006,AC,Abril,0,2006-01-01
2007,AC,Abril,0,2007-01-01
2008,AC,Abril,0,2008-01-01
2009,AC,Abril,0,2009-01-01
2010,AC,Abril,3,2010-01-01
2011,AC,Abril,2,2011-01-01
2012,AC,Abril,1,2012-01-01
2013,AC,Abril,19,2013-01-01
2014,AC,Abril,7,2014-01-01
2015,AC,Abril,3,2015-01-01
2016,AC,Abril,0,2016-01-01
2017,AC,Abril,1,2017-01-01
1998,AC,Maio,0,1998-01-01
1999,AC,Maio,0,1999-01-01
